player_id,hand,dob,ioc,height
100001,R,19131122,USA,185
100002,R,19210620,ECU,168
100003,R,19271002,AUS,180
100004,R,19271011,ITA,
100005,R,19280509,USA,188
100006,R,19290821,USA,175
100007,L,19301023,RSA,
100008,R,19301119,DEN,
100009,R,19311014,HUN,
100010,R,19320918,CHI,170
100011,L,19281004,DEN,180
100012,R,19330911,ITA,178
100013,L,19331003,AUS,185
100014,R,19340714,RSA,
100015,R,19340801,USA,180
100016,R,19341102,AUS,175
100017,R,19350303,AUS,
100018,R,19350831,USA,190
100019,R,19360113,POL,
100020,R,19360324,PER,178
100021,R,19360915,AUS,178
100022,R,19361103,AUS,183
100023,R,19370411,IND,
100024,R,19370414,SWE,191
100025,R,19370709,AUS,173
100026,R,19370803,ESP,185
100027,R,19371228,USA,185
100028,R,19380510,ESP,170
100029,L,19380809,AUS,173
100030,R,19381008,AUS,190
100031,R,19381110,SUI,
100032,R,19381220,CHI,188
100033,R,19390401,GER,188
100034,L,19390413,GER,
100035,R,19390509,ROU,185
100036,R,19390610,USA,
100037,L,19390827,CRO,191
100038,R,19391009,CHI,178
100039,R,19391021,CRO,
100040,R,19400112,RSA,190
100041,R,19400114,USA,
100042,R,19400114,JPN,
100043,R,19400219,CZE,
100044,R,19400320,RUS,
100045,L,19400323,GBR,
100046,R,19400701,USA,
100047,R,19400704,AUS,183
100048,R,19400916,USA,188
100049,L,19400916,USA,175
100050,R,19401018,AUS,
100051,R,19401020,IND,
100052,R,19410224,JPN,
100053,R,19410227,AUS,
100054,R,19410326,BRA,173
100055,R,19410526,RSA,188
100056,R,19410619,GER,
100057,R,19410913,FRA,
100058,L,19411014,GBR,183
100059,R,19411123,JPN,
100060,R,19411204,USA,185
100061,R,19411212,USA,188
100062,R,19420209,FRA,180
100063,R,19420402,USA,
100064,R,19420405,ESP,
100065,R,19420427,RSA,
100066,R,19420519,USA,190
100067,R,19420520,RSA,183
100068,R,19420714,USA,
100069,R,19420727,USA,188
100070,R,19420913,CZE,
100071,R,19421230,FRA,
100072,R,19430615,USA,
100073,L,19430705,GBR,185
100074,R,19430710,USA,185
100075,L,19431004,AUS,185
100076,R,19431023,CZE,190
100077,R,19431103,FRA,
100078,R,19431104,USA,188
100079,R,19431225,AUS,
100080,R,19440131,HUN,
100081,R,19440212,USA,185
100082,R,19440216,ZIM,
100083,R,19440222,SRB,
100084,R,19440222,NED,178
100085,R,19440226,GER,
100086,L,19440328,CZE,
100087,R,19440523,AUS,183
100088,R,19440606,CHI,180
100089,R,19440903,FRA,170
100090,R,19440918,AUS,191
100091,R,19440919,AUS,188
100092,R,19441102,RUS,
100093,R,19450114,USA,
100094,R,19450201,USA,185
100095,R,19450209,CAN,
100096,R,19450210,CAN,175
100097,R,19450218,GRE,
100098,R,19450405,SWE,196
100099,L,19450511,BRA,
100100,L,19450517,AUS,178
100101,R,19450629,CAN,
100102,R,19450816,MEX,
100103,R,19450829,GBR,
100104,R,19450908,JAM,
100105,R,19451014,AUS,
100106,R,19451115,GBR,173
100107,R,19451118,AUS,
100108,R,19451225,GBR,
100109,R,19451228,JPN,
100110,R,19460111,AUS,180
100111,R,19460117,AUS,
100112,R,19460219,GBR,
100113,R,19460301,CZE,175
100114,R,19460323,AUS,
100115,R,19460603,CHI,180
100116,R,19460606,USA,188
100117,R,19460613,USA,188
100118,L,19460616,COL,
100119,R,19460719,ROU,183
100120,R,19460812,RSA,180
100121,R,19460824,RSA,183
100122,R,19460825,ARG,
100123,R,19460908,BEL,
100124,R,19461017,USA,
100125,R,19461104,AUS,
100126,R,19461214,USA,193
100127,R,19460119,USA,180
100128,R,19461231,USA,175
100129,R,19470117,FRA,
100130,R,19470201,CZE,
100131,R,19470207,USA,
100132,R,19470319,USA,
100133,R,19470321,RSA,
100134,R,19470330,USA,175
100135,R,19470415,NZL,188
100136,R,19470504,VEN,
100137,R,19470523,GER,178
100138,R,19470527,USA,
100139,R,19470527,GBR,178
100140,R,19470601,USA,
100141,R,19470613,CRO,
100142,R,19470808,HUN,
100143,R,19470829,USA,180
100144,R,19470829,USA,180
100145,R,19470929,USA,
100146,R,19471001,JPN,
100147,R,19471005,MEX,
100148,R,19471115,EGY,
100149,R,19471123,JPN,
100150,R,19471205,ARG,
100151,R,19471217,AUS,180
100152,R,19480103,GBR,
100153,R,19480105,FRA,188
100154,R,19480116,SUI,
100155,R,19470130,BOL,
100156,R,19480204,IND,
100157,R,19480211,USA,185
100158,R,19480317,AUS,188
100159,R,19480423,RUS,
100160,R,19480426,FRA,173
100161,R,19480528,GER,
100162,R,19480613,NZL,173
100163,R,19480715,USA,175
100164,R,19480731,USA,
100165,R,19480904,USA,
100166,R,19481001,USA,
100167,R,19481023,ROU,
100168,R,19481125,USA,
100169,R,19481201,AUS,
100170,R,19481203,BEL,
100171,R,19481212,RSA,
100172,R,19490101,ARG,173
100173,R,19490130,USA,188
100174,L,19490206,ESP,178
100175,R,19490212,USA,
100176,L,19490223,AUT,172
100177,R,19490228,CZE,
100178,R,19490407,AUS,
100179,R,19490430,GER,178
100180,R,19490507,AUS,
100181,R,19490604,USA,
100182,R,19490719,USA,173
100183,R,19490728,USA,
100184,R,19490818,DEN,
100185,R,19490910,FRA,180
100186,R,19490925,USA,193
100187,R,19490926,BRA,
100188,R,19490928,USA,
100189,R,19491002,CAN,
100190,R,19491005,USA,
100191,R,19491015,USA,188
100192,R,19491015,USA,
100193,R,19491019,FRA,
100194,R,19491023,USA,
100195,R,19491029,GRE,178
100196,R,19491112,PAK,
100197,R,19491120,CHI,
100198,R,19500103,COL,
100199,L,19500112,FRA,173
100200,R,19500117,ITA,
100201,R,19500124,AUS,188
100202,L,19500212,USA,173
100203,R,19500214,AUS,183
100204,L,19500216,USA,
100205,R,19500315,USA,185
100206,R,19500319,JPN,
100207,R,19500328,AUS,
100208,R,19500428,USA,
100209,R,19500504,USA,
100210,R,19500506,AUS,
100211,R,19500509,NED,
100212,R,19500613,USA,
100213,U,19500614,NED,
100214,R,19500709,ITA,183
100215,R,19500722,USA,183
100216,R,19500731,USA,
100217,R,19500805,USA,
100218,R,19500904,USA,
100219,R,19500919,AUS,
100220,R,19500919,CZE,
100221,R,19500923,BRA,173
100222,R,19500924,USA,
100223,R,19501029,NZL,
100224,R,19501110,AUS,
100225,R,19501117,AUS,
100226,R,19510127,USA,
100227,R,19510211,AUS,
100228,R,19510212,SWE,
100229,R,19510218,USA,188
100230,R,19510219,CAN,
100231,R,19510221,USA,183
100232,R,19510223,USA,170
100233,R,19510226,ARG,170
100234,R,19510301,AUS,
100235,R,19510301,ESP,
100236,R,19510307,AUS,183
100237,R,19510309,RSA,
100238,R,19510329,USA,
100239,R,19510422,GER,
100240,R,19510425,BRA,185
100241,R,19510425,USA,
100242,R,19510501,GBR,
100243,R,19510530,USA,175
100244,R,19510704,AUS,190
100245,R,19510705,USA,
100246,R,19510709,RSA,
100247,L,19510727,NED,190
100248,R,19510730,SUI,
100249,R,19510803,ITA,175
100250,R,19510824,USA,173
100251,R,19510827,USA,
100252,R,19510908,USA,180
100253,L,19510908,USA,180
100254,R,19511001,USA,188
100255,L,19511015,USA,183
100256,R,19511021,MEX,
100257,R,19511101,AUS,
100258,R,19511102,VEN,
100259,R,19511130,AUT,183
100260,R,19520103,USA,
100261,R,19520127,USA,183
100262,R,19520131,SWE,
100263,R,19520205,USA,
100264,R,19520207,YUG,
100265,R,19520209,AUS,
100266,R,19520216,GBR,190
100267,R,19520229,RSA,
100268,R,19520314,FRA,
100269,R,19520317,USA,
100270,R,19520320,IND,185
100271,L,19520331,FRA,
100272,R,19520405,USA,178
100273,R,19520408,AUS,183
100274,R,19520417,FRA,178
100275,R,19520423,GER,
100276,L,19520423,USA,178
100277,R,19520523,FRA,
100278,R,19520611,GER,
100279,R,19520617,USA,183
100280,R,19520803,POL,183
100281,R,19520809,IND,180
100282,L,19520817,ARG,180
100283,R,19520819,RSA,
100284,L,19520902,USA,178
100285,R,19520908,AUS,185
100286,R,19520917,USA,168
100287,R,19520918,GBR,
100288,R,19520921,SWE,
100289,R,19521029,RSA,
100290,R,19521031,USA,
100291,R,19521116,USA,
100292,R,19521204,CHI,178
100293,R,19521209,AUS,
100294,R,19521230,CAN,175
100295,R,19530119,CAN,
100296,R,19530207,NZL,
100297,R,19530219,ITA,178
100298,L,19530219,USA,
100299,R,19530225,USA,
100300,R,19530301,ESP,178
100301,R,19530312,USA,
100302,R,19530324,BRA,
100303,R,19530327,USA,
100304,R,19530430,USA,
100305,R,19530506,GBR,
100306,R,19530506,GBR,
100307,R,19530518,FRA,180
100308,R,19530615,RSA,180
