player_id,hand,dob,ioc,height
113190,U,,USA,
200000,U,19000000,UNK,
200001,R,19800930,SUI,170
200002,R,19820309,CRO,181
200003,R,19820601,BEL,167
200004,R,19721204,AUS,159
200005,R,19680831,USA,
200006,R,19730802,SVK,170
200007,R,19780114,CRO,173
200008,R,19810127,AUS,182
200009,R,19770524,THA,165
200010,R,19750323,ITA,177
200011,R,19810312,SLO,180
200012,R,19740609,CAN,175
200013,R,19731003,MEX,
200014,R,19730419,ISR,172
200015,R,19780117,HUN,178
200016,R,19720403,FRA,176
200017,R,19711218,ESP,168
200018,R,19760521,GER,
200019,R,19731122,FRA,176
200020,R,19730810,USA,165
200021,R,19700503,FRA,
200022,R,19760709,SUI,171
200023,R,19791209,AUS,174
200024,R,19740524,VEN,168
200025,R,19791015,SVK,171
200026,L,19710612,ARG,170
200027,L,19790301,ESP,167
200028,R,19710321,CAN,175
200029,R,19741029,AUS,174
200030,R,19780401,SUI,173
200031,R,19780117,USA,163
200032,R,19760310,AUT,176
200033,R,19810926,USA,175
200034,L,19790325,AUS,
200035,R,19771107,ESP,171
200036,R,19730305,AUS,163
200037,L,19720422,BEL,168
200038,R,19780202,AUS,165
200039,R,19760218,USA,168
200040,R,19760716,ISR,157
200041,R,19720919,USA,175
200042,R,19700820,BEL,178
200043,R,19830512,FRA,173
200044,R,19790208,CZE,174
200045,R,19770526,USA,175
200046,R,19790413,USA,180
200047,R,19740714,NZL,
200048,R,19750908,RUS,174
200049,R,19720416,ESP,170
200050,R,19780508,CZE,177
200051,R,19740326,ROU,175
200052,R,19791102,BLR,172
200053,R,19750307,BUL,
200054,R,19770720,AUT,177
200055,R,19760311,ARG,172
200056,L,19810706,CRO,168
200057,R,19721014,USA,
200058,R,19740822,HUN,165
200059,R,19721024,ROU,168
200060,R,19770630,ITA,172
200061,L,19731223,ESP,163
200062,R,19770329,PUR,168
200063,R,19760813,RUS,154
200064,R,19711022,RSA,158
200065,R,19790705,FRA,175
200066,R,19740912,ESP,171
200067,L,19781214,SUI,168
200068,R,19780407,USA,170
200069,R,19820608,RUS,178
200070,L,19790724,FRA,172
200071,R,19760420,CZE,170
200072,R,19790217,ZIM,167
200073,L,19751105,GBR,173
200074,R,19740621,USA,165
200075,R,19740228,CHN,168
200076,R,19760118,BEL,172
200077,R,19760329,USA,170
200078,L,19790127,AUT,181
200079,R,19830608,BEL,175
200080,R,19730531,BEL,170
200081,R,19741204,GER,173
200082,R,19731216,NED,178
200083,R,19801215,USA,185
200084,R,19750616,SWE,178
200085,R,19750705,JPN,163
200086,R,19750401,BUL,168
200087,R,19740522,NED,166
200088,R,19760626,CZE,166
200089,R,19720909,NED,169
200090,L,19770514,GER,175
200091,R,19761022,TPE,175
200092,R,19800817,SCG,
200093,L,19780327,FRA,
200094,R,19730425,GER,173
200095,R,19710211,USA,
200096,R,19750115,FRA,178
200097,R,19671017,FRA,165
200098,R,19781215,SVK,177
200099,R,19760424,CAN,157
200100,R,19760211,NED,167
200101,R,19760921,GER,181
200102,R,19820427,AUS,
200103,R,19800529,AUS,173
200104,L,19790609,FRA,167
200105,U,19711202,AUS,170
200106,R,19750806,ESP,157
200107,R,19760623,ARG,170
200108,R,19811015,RUS,180
200109,R,19790221,FRA,177
200110,R,19790107,COL,172
200111,R,19840429,RUS,174
200112,R,19700910,FRA,173
200113,R,19810607,RUS,173
200114,R,19780805,AUT,175
200115,R,19800121,USA,175
200116,R,19710416,BLR,174
200117,R,19750709,CZE,165
200118,R,19730921,ESP,169
200119,L,19780213,HUN,176
200120,R,19830412,AUS,175
200121,R,19770118,RUS,168
200122,R,19810219,SLO,172
200123,R,19800130,GER,174
200124,R,19751017,LUX,165
200125,R,19780126,USA,174
200126,R,19800623,USA,170
200127,R,19751113,FRA,
200128,R,19760608,USA,189
200129,R,19420816,AUS,
200130,U,,AUS,
200131,U,19450510,ROU,
200132,U,,AUS,
200133,R,,NED,
200134,U,19491216,AUS,
200135,R,19370923,AUS,155
200136,U,,AUS,
200137,U,,AUS,
200138,U,,AUS,
200139,L,19460227,INA,
200140,U,,AUS,
200141,L,19500517,AUS,
200142,U,,AUS,
200143,R,19461027,USA,
200144,R,19420716,AUS,175
200145,R,19490919,AUS,173
200146,R,19510211,AUS,168
200147,U,,USA,
200148,U,,AUS,
200149,U,,AUS,
200150,R,19510731,AUS,168
200151,U,19480408,NED,
200152,R,19450403,FRA,
200153,U,,AUS,
200154,U,,AUS,
200155,U,,AUS,
200156,U,,AUS,
200157,R,19420526,AUS,
200158,R,19461020,AUS,
200159,R,19480916,USA,157
200160,R,19371212,AUS,
200161,U,,AUS,
200162,U,19490210,NED,
200163,U,,AUS,
200164,U,,USA,
200165,U,19490422,INA,
200166,U,,AUS,
200167,U,,AUS,
200168,R,19470201,AUS,188
200169,U,,AUS,
200170,U,19291116,AUS,
200171,U,19511022,AUS,
200172,U,,AUS,
200173,U,,AUS,
200174,U,,AUS,
200175,U,19461125,USA,
200176,R,19470807,AUS,166
