rank,player_id,name,elo,hard,clay,grass,updated
1,,Jannik Sinner,2296.9,2234.3,2186.8,2100.5,2026-09-21
2,,Carlos Alcaraz,2141.2,2070.7,2083.8,2011.4,2026-09-21
3,,Alexander Zverev,2118.7,2057.4,2060.6,1959.5,2026-09-21
4,,Novak Djokovic,2047.2,1997.1,1953.2,1932.1,2026-09-21
5,,Arthur Fils,2034.5,1973.6,1962.0,1803.5,2026-09-21
6,,Ben Shelton,1992.5,1959.4,1861.1,1860.4,2026-09-21
7,,Rafael Jodar,1987.4,1904.1,1949.3,1723.0,2026-09-21
8,,Felix Auger Aliassime,1973.0,1936.2,1871.5,1819.5,2026-09-21
9,,Frances Tiafoe,1957.0,1911.4,1846.9,1837.3,2026-09-21
10,,Taylor Fritz,1952.5,1883.1,1782.6,1883.1,2026-09-21
11,,Tommy Paul,1950.9,1886.5,1886.7,1798.9,2026-09-21
12,,Jiri Lehecka,1948.5,1903.3,1839.0,1821.3,2026-09-21
13,,Joao Fonseca,1946.8,1933.1,1865.9,1722.1,2026-09-21
14,,Alex De Minaur,1945.2,1912.5,1861.4,1832.5,2026-09-21
15,,Casper Ruud,1941.1,1857.1,1945.8,1682.6,2026-09-21
16,,Learner Tien,1936.4,1901.4,1819.0,1708.9,2026-09-21
17,,Daniil Medvedev,1935.9,1917.5,1868.2,1831.9,2026-09-21
18,,Brandon Nakashima,1917.6,1875.2,1774.2,1786.5,2026-09-21
19,,Flavio Cobolli,1915.8,1836.7,1861.8,1787.7,2026-09-21
20,,Jakub Mensik,1910.8,1875.2,1850.9,1705.6,2026-09-21
21,,Alejandro Davidovich Fokina,1895.2,1843.4,1810.8,1791.4,2026-09-21
22,,Alexander Blockx,1894.4,1803.6,1851.5,1683.4,2026-09-21
23,,Alexander Bublik,1893.0,1838.9,1825.5,1815.2,2026-09-21
24,,Francisco Cerundolo,1890.3,1838.3,1848.0,1738.5,2026-09-21
25,,Daniel Merida Aguilar,1889.7,1829.6,1812.6,1641.2,2026-09-21
26,,Stefanos Tsitsipas,1883.8,1835.5,1889.1,1702.6,2026-09-21
27,,Alex Michelsen,1880.7,1859.6,1722.2,1727.9,2026-09-21
28,,Andrey Rublev,1879.7,1825.1,1870.6,1754.8,2026-09-21
29,,Lorenzo Musetti,1872.4,1805.8,1851.9,1749.7,2026-09-21
30,,Valentin Vacherot,1855.3,1809.5,1756.9,1581.6,2026-09-21
31,,Hubert Hurkacz,1847.4,1776.7,1786.9,1743.1,2026-09-21
32,,Karen Khachanov,1839.5,1791.5,1792.9,1734.5,2026-09-21
33,,Cameron Norrie,1835.7,1796.8,1791.1,1703.1,2026-09-21
34,,Luciano Darderi,1829.6,1730.8,1836.7,1618.9,2026-09-21
35,,Ugo Humbert,1826.2,1802.4,1711.3,1734.9,2026-09-21
36,,Matteo Berrettini,1824.4,1779.9,1786.5,1738.2,2026-09-21
37,,Mariano Navone,1821.4,1741.3,1786.7,1559.0,2026-09-21
38,,Tomas Machac,1817.8,1777.9,1758.7,1681.8,2026-09-21
39,,Nuno Borges,1817.1,1773.3,1746.4,1680.8,2026-09-21
40,,Botic Van De Zandschulp,1816.8,1789.6,1718.4,1630.1,2026-09-21
41,,Arthur Fery,1815.5,1745.1,1617.9,1723.5,2026-09-21
42,,Alejandro Tabilo,1813.4,1770.5,1757.6,1659.4,2026-09-21
43,,Thiago Agustin Tirante,1809.4,1735.8,1759.3,1585.8,2026-09-21
44,,Ignacio Buse,1808.1,1735.5,1762.8,1631.1,2026-09-21
45,,Jaime Faria,1807.2,1727.2,1751.2,1710.5,2026-09-21
46,,Toby Samuel,1803.9,1786.8,1664.7,1606.1,2026-09-21
47,,Dino Prizmic,1800.2,1705.6,1777.3,1598.7,2026-09-21
48,,Juan Manuel Cerundolo,1797.4,1705.2,1767.9,1568.0,2026-09-21
49,,Gael Monfils,1796.7,1771.6,1681.6,1648.4,2026-09-21
50,,Raphael Collignon,1796.5,1732.1,1772.4,1636.4,2026-09-21
51,,Eliot Spizzirri,1796.1,1765.0,1584.1,1630.0,2026-09-21
52,,Ethan Quinn,1794.3,1762.3,1683.3,1695.9,2026-09-21
53,,Thanasi Kokkinakis,1793.8,1764.5,1722.7,1581.6,2026-09-21
54,,Tallon Griekspoor,1793.2,1779.7,1727.6,1702.4,2026-09-21
55,,Yannick Hanfmann,1793.0,1731.6,1751.6,1653.0,2026-09-21
56,,Arthur Cazaux,1792.9,1737.6,1702.8,1658.7,2026-09-21
57,,Marin Cilic,1789.0,1749.7,1695.5,1742.3,2026-09-21
58,,Michael Zheng,1788.2,1744.5,1622.8,1678.1,2026-09-21
59,,Denis Shapovalov,1787.8,1785.6,1684.7,1628.6,2026-09-21
60,,Tomas Martin Etcheverry,1786.3,1743.1,1751.9,1553.5,2026-09-21
61,,Roman Safiullin,1785.8,1714.7,1772.2,1711.8,2026-09-21
62,,Sebastian Korda,1783.6,1740.0,1644.9,1654.0,2026-09-21
63,,Zizou Bergs,1781.6,1725.5,1679.3,1706.7,2026-09-21
64,,Quentin Halys,1781.5,1718.8,1754.3,1643.7,2026-09-21
65,,Titouan Droguet,1777.6,1724.9,1731.4,1645.8,2026-09-21
66,,Arthur Gea,1777.4,1774.4,1611.4,1624.0,2026-09-21
67,,Holger Rune,1775.8,1746.5,1738.1,1637.9,2026-09-21
68,,Luca Van Assche,1774.6,1730.3,1727.6,1583.7,2026-09-21
69,,Kamil Majchrzak,1773.6,1713.1,1709.9,1733.0,2026-09-21
70,,Jack Draper,1772.5,1729.3,1671.7,1679.1,2026-09-21
71,,Jordan Thompson,1772.4,1732.6,1604.6,1708.7,2026-09-21
72,,Arthur Rinderknech,1768.4,1733.6,1700.9,1663.2,2026-09-21
73,,Pablo Carreno Busta,1767.5,1709.7,1740.9,1586.6,2026-09-21
74,,Sebastian Baez,1767.3,1718.8,1732.0,1541.5,2026-09-21
75,,Jaume Munar,1766.7,1748.0,1697.3,1629.6,2026-09-21
76,,Fabian Marozsan,1763.4,1719.7,1705.2,1643.3,2026-09-21
77,,Benjamin Bonzi,1761.8,1721.3,1628.1,1670.1,2026-09-21
78,,Hamad Medjedovic,1756.7,1664.4,1774.4,1606.0,2026-09-21
79,,Matteo Arnaldi,1754.9,1676.5,1780.4,1578.0,2026-09-21
80,,Miomir Kecmanovic,1749.5,1697.8,1712.8,1628.5,2026-09-21
81,,Reilly Opelka,1748.9,1733.8,1644.0,1634.6,2026-09-21
82,,Terence Atmane,1748.7,1719.8,1650.5,1562.3,2026-09-21
83,,Marton Fucsovics,1745.1,1699.1,1680.6,1691.4,2026-09-21
84,,Grigor Dimitrov,1743.4,1722.6,1649.0,1673.9,2026-09-21
85,,Rinky Hijikata,1738.8,1693.0,1572.9,1656.6,2026-09-21
86,,Jan Lennard Struff,1736.7,1654.0,1682.5,1687.4,2026-09-21
87,,Soon Woo Kwon,1736.4,1694.4,1621.3,1637.8,2026-09-21
88,,Jan Kumstat,1734.2,1494.5,1721.5,1567.1,2026-09-21
89,,Alex Molcan,1732.9,1641.8,1703.0,1626.3,2026-09-21
90,,Facundo Diaz Acosta,1731.5,1554.0,1718.5,1490.4,2026-09-21
91,,Alexei Popyrin,1730.5,1673.4,1721.3,1574.7,2026-09-21
92,,Mattia Bellucci,1725.5,1679.0,1612.5,1659.2,2026-09-21
93,,Jacob Fearnley,1723.1,1667.7,1659.8,1677.5,2026-09-21
94,,Juncheng Shang,1717.7,1657.8,1626.2,1636.7,2026-09-21
95,,Lloyd Harris,1717.1,1683.9,1592.0,1633.8,2026-09-21
96,,Lorenzo Sonego,1716.2,1694.6,1626.4,1641.2,2026-09-21
97,,Corentin Moutet,1713.6,1693.6,1676.5,1617.3,2026-09-21
98,,Daniel Altmaier,1712.8,1634.4,1686.7,1586.9,2026-09-21
99,,Jenson Brooksby,1712.0,1675.2,1616.2,1661.1,2026-09-21
100,,Adolfo Daniel Vallejo,1711.0,1573.3,1687.1,1544.3,2026-09-21
101,,Zsombor Piros,1710.9,1670.0,1675.3,1575.4,2026-09-21
102,,Yibing Wu,1708.6,1703.9,1653.1,1483.7,2026-09-21
103,,Kei Nishikori,1708.5,1670.0,1606.8,1588.4,2026-09-21
104,,Martin Damm,1708.5,1661.9,1536.5,1643.7,2026-09-21
105,,Zachary Svajda,1708.1,1668.2,1584.0,1666.5,2026-09-21
106,,Christopher Oconnell,1707.7,1683.4,1586.4,1634.0,2026-09-21
107,,Adam Walton,1704.6,1652.2,1543.8,1615.1,2026-09-21
108,,Gabriel Diallo,1704.0,1659.6,1623.1,1633.1,2026-09-21
109,,Nishesh Basavareddy,1699.7,1652.0,1623.3,1533.2,2026-09-21
110,,Camilo Ugo Carabelli,1698.5,1582.3,1704.5,1450.9,2026-09-21
111,,Roberto Bautista Agut,1696.9,1666.5,1638.0,1645.6,2026-09-21
112,,Emilio Nava,1695.6,1616.9,1681.8,1538.2,2026-09-21
113,,Marcos Giron,1693.3,1660.1,1591.5,1627.0,2026-09-21
114,,Leandro Riedi,1693.1,1675.3,1598.6,1625.8,2026-09-21
115,,Vit Kopriva,1689.8,1632.3,1664.9,1571.5,2026-09-21
116,,Yoshihito Nishioka,1688.7,1659.2,1618.3,1539.9,2026-09-21
117,,Andrea Vavassori,1688.1,1655.0,1642.3,1538.1,2026-09-21
118,,Jan Choinski,1688.0,1546.7,1682.9,1551.3,2026-09-21
119,,Bu Yunchaokete,1685.3,1645.1,1596.6,1592.9,2026-09-21
120,,Roman Andres Burruchaga,1684.6,1506.2,1691.2,1531.2,2026-09-21
121,,Jason Kubler,1684.5,1635.3,1615.7,1679.3,2026-09-21
122,,Laslo Djere,1681.3,1598.8,1689.8,1558.2,2026-09-21
123,,Jesper De Jong,1680.0,1599.5,1666.0,1536.6,2026-09-21
124,,Coleman Wong,1677.3,1656.4,1504.3,1494.4,2026-09-21
125,,Hugo Gaston,1677.2,1652.0,1624.6,1581.1,2026-09-21
126,,James Duckworth,1676.7,1637.4,1596.9,1572.7,2026-09-21
127,,Valentin Royer,1676.5,1626.6,1625.8,1595.3,2026-09-21
128,,Otto Virtanen,1676.4,1643.8,1547.0,1681.0,2026-09-21
129,,Cristian Garin,1668.7,1585.3,1657.4,1618.2,2026-09-21
130,,Martin Landaluce,1667.9,1625.0,1619.9,1582.6,2026-09-21
131,,Oliver Tarvet,1667.8,1604.5,1583.9,1635.1,2026-09-21
132,,Ilia Simakin,1666.9,1675.1,1411.5,1533.5,2026-09-21
133,,Kyrian Jacquet,1663.6,1625.0,1578.0,1649.3,2026-09-21
134,,Adrian Mannarino,1663.1,1634.0,1482.6,1641.7,2026-09-21
135,,Giovanni Mpetshi Perricard,1658.8,1597.8,1633.3,1603.0,2026-09-21
136,,Aleksandar Kovacevic,1658.5,1630.7,1574.2,1477.5,2026-09-21
137,,Chris Rodesch,1656.3,1662.4,1557.4,1560.1,2026-09-21
138,,Dalibor Svrcina,1654.2,1635.2,1578.1,1482.0,2026-09-21
139,,David Goffin,1654.1,1620.1,1631.9,1626.7,2026-09-21
