rank,player_id,name,elo,hard,clay,grass,updated
1,,Aryna Sabalenka,2190.0,2171.9,2088.2,1973.9,2026-09-21
2,,Elena Rybakina,2163.4,2149.9,2022.1,1904.4,2026-09-21
3,,Coco Gauff,2137.7,2097.8,2051.6,1899.0,2026-09-21
4,,Jessica Pegula,2114.0,2074.3,1950.1,1925.1,2026-09-21
5,,Iga Swiatek,2103.5,2067.7,2027.9,1926.2,2026-09-21
6,,Elina Svitolina,2050.8,1988.1,1984.9,1832.9,2026-09-21
7,,Linda Noskova,2048.9,1963.8,1848.4,1940.4,2026-09-21
8,,Marta Kostyuk,2048.1,1964.2,1987.8,1817.9,2026-09-21
9,,Mirra Andreeva,2047.9,1981.4,2021.4,1793.5,2026-09-21
10,,Naomi Osaka,2021.3,1956.6,1903.0,1839.7,2026-09-21
11,,Belinda Bencic,1981.3,1939.1,1844.6,1800.1,2026-09-21
12,,Iva Jovic,1975.9,1921.3,1827.9,1848.9,2026-09-21
13,,Madison Keys,1971.6,1908.9,1886.1,1839.6,2026-09-21
14,,Alexandra Eala,1969.9,1907.2,1714.5,1843.2,2026-09-21
15,,Karolina Muchova,1961.0,1913.4,1779.9,1792.6,2026-09-21
16,,Sorana Cirstea,1959.7,1916.5,1857.3,1704.5,2026-09-21
17,,Amanda Anisimova,1949.4,1909.3,1769.2,1788.0,2026-09-21
18,,Diana Shnaider,1941.8,1894.8,1866.2,1724.9,2026-09-21
19,,Anna Kalinskaya,1926.2,1880.6,1814.0,1743.5,2026-09-21
20,,Elise Mertens,1912.3,1848.5,1820.1,1784.6,2026-09-21
21,,Emma Navarro,1899.1,1814.7,1810.7,1781.4,2026-09-21
22,,Qinwen Zheng,1898.0,1880.6,1834.2,1637.5,2026-09-21
23,,Victoria Mboko,1885.9,1886.3,1736.1,1646.6,2026-09-21
24,,Anastasia Potapova,1883.9,1800.3,1871.3,1664.1,2026-09-21
25,,Marie Bouzkova,1881.9,1815.4,1804.3,1767.5,2026-09-21
26,,Taylor Townsend,1876.0,1848.0,1756.4,1640.8,2026-09-21
27,,Barbora Krejcikova,1874.2,1819.9,1718.3,1781.3,2026-09-21
28,,Sonay Kartal,1874.0,1832.6,1602.3,1731.6,2026-09-21
29,,Karolina Pliskova,1862.0,1802.3,1802.2,1753.0,2026-09-21
30,,Ekaterina Alexandrova,1854.1,1812.4,1741.6,1745.5,2026-09-21
31,,Nikola Bartunkova,1850.4,1788.3,1717.1,1725.1,2026-09-21
32,,Hailey Baptiste,1843.9,1780.5,1770.5,1631.6,2026-09-21
33,,Sara Bejlek,1843.3,1825.2,1757.6,1549.3,2026-09-21
34,,Kristina Liutova,1839.4,1803.9,1694.2,1594.7,2026-09-21
35,,Liudmila Samsonova,1839.4,1791.5,1750.3,1733.6,2026-09-21
36,,Maria Sakkari,1838.3,1812.9,1767.3,1663.4,2026-09-21
37,,Caty Mcnally,1836.6,1757.7,1756.3,1720.3,2026-09-21
38,,Katerina Siniakova,1836.2,1794.8,1717.2,1720.4,2026-09-21
39,,Emma Raducanu,1834.0,1772.9,1726.8,1742.6,2026-09-21
40,,Jasmine Paolini,1830.9,1786.8,1769.1,1698.9,2026-09-21
41,,Paula Badosa,1827.2,1774.5,1773.1,1663.4,2026-09-21
42,,Jelena Ostapenko,1825.1,1757.7,1793.3,1755.3,2026-09-21
43,,Jaqueline Cristian,1824.5,1798.4,1741.4,1521.6,2026-09-21
44,,Elena Gabriela Ruse,1822.8,1745.0,1722.7,1735.6,2026-09-21
45,,Alina Korneeva,1822.0,1797.7,1666.3,1630.5,2026-09-21
46,,Olga Danilovic,1819.1,1739.8,1796.1,1639.9,2026-09-21
47,,Leylah Fernandez,1818.7,1798.1,1708.6,1648.3,2026-09-21
48,,Tereza Valentova,1810.9,1784.3,1759.6,1632.7,2026-09-21
49,,Varvara Gracheva,1809.9,1763.2,1701.4,1641.3,2026-09-21
50,,Katie Volynets,1809.8,1766.3,1727.1,1694.8,2026-09-21
51,,Daria Snigur,1809.5,1765.0,1638.6,1676.9,2026-09-21
52,,Diane Parry,1808.0,1739.7,1717.5,1683.7,2026-09-21
53,,Ann Li,1805.9,1756.0,1742.9,1587.0,2026-09-21
54,,Peyton Stearns,1793.5,1752.4,1750.6,1546.7,2026-09-21
55,,Katie Boulter,1792.3,1758.6,1676.0,1697.2,2026-09-21
56,,Ashlyn Krueger,1792.2,1703.3,1678.6,1748.2,2026-09-21
57,,Xiyu Wang,1790.0,1747.1,1739.3,1591.3,2026-09-21
58,,Daria Kasatkina,1783.7,1741.1,1763.8,1663.7,2026-09-21
59,,Magda Linette,1779.3,1724.7,1739.2,1633.5,2026-09-21
60,,Clara Tauson,1778.3,1746.4,1681.0,1618.8,2026-09-21
61,,Xin Yu Wang,1776.8,1732.0,1641.7,1700.7,2026-09-21
62,,Anastasia Pavlyuchenkova,1774.6,1741.6,1692.1,1678.7,2026-09-21
63,,Robin Montgomery,1773.6,1692.1,1623.0,1741.2,2026-09-21
64,,Zeynep Sonmez,1773.4,1712.2,1655.8,1664.9,2026-09-21
65,,Lilli Tagger,1771.3,1759.7,1635.6,1517.5,2026-09-21
66,,Yulia Putintseva,1770.6,1730.3,1726.2,1617.1,2026-09-21
67,,Camila Osorio,1770.4,1736.9,1712.4,1603.4,2026-09-21
68,,Anhelina Kalinina,1770.0,1697.9,1764.6,1614.7,2026-09-21
69,,Elisabetta Cocciaretto,1768.6,1736.9,1694.4,1648.9,2026-09-21
70,,Donna Vekic,1768.0,1702.0,1734.1,1699.1,2026-09-21
71,,Maja Chwalinska,1766.1,1684.4,1767.2,1553.6,2026-09-21
72,,Mccartney Kessler,1765.8,1730.7,1652.3,1667.9,2026-09-21
73,,Viktorija Golubic,1764.3,1713.7,1661.8,1662.9,2026-09-21
74,,Mayar Sherif,1763.3,1534.6,1756.6,1522.8,2026-09-21
75,,Laura Siegemund,1762.3,1710.2,1688.5,1620.8,2026-09-21
76,,Mananchaya Sawangkaew,1759.6,1706.6,1582.6,1688.2,2026-09-21
77,,Magdalena Frech,1758.8,1732.8,1664.5,1564.7,2026-09-21
78,,Maria Timofeeva,1754.6,1678.4,1717.4,1575.9,2026-09-21
79,,Cristina Bucsa,1754.3,1732.7,1578.9,1609.9,2026-09-21
80,,Kaitlin Quevedo,1752.7,1688.9,1716.3,1551.2,2026-09-21
81,,Oleksandra Oliynykova,1751.8,1602.5,1728.5,1501.3,2026-09-21
82,,Yuliia Starodubtseva,1747.2,1684.3,1713.2,1574.9,2026-09-21
83,,Dayana Yastremska,1743.6,1686.4,1706.9,1640.3,2026-09-21
84,,Lanlana Tararudee,1742.0,1729.1,1559.4,1571.1,2026-09-21
85,,Kamilla Rakhimova,1738.6,1711.4,1632.1,1611.6,2026-09-21
86,,Anna Bondar,1738.0,1664.7,1740.1,1489.0,2026-09-21
87,,Tatjana Maria,1734.0,1634.5,1601.2,1723.4,2026-09-21
88,,Hanne Vandewinkel,1733.5,1745.8,1580.3,1536.7,2026-09-21
89,,Ajla Tomljanovic,1729.9,1715.1,1622.1,1658.1,2026-09-21
90,,Anastasia Zakharova,1726.3,1703.5,1587.2,1612.1,2026-09-21
91,,Eva Lys,1724.8,1692.4,1648.9,1567.8,2026-09-21
92,,Jessica Bouzas Maneiro,1724.1,1660.0,1678.5,1647.8,2026-09-21
93,,Claire Liu,1723.7,1672.6,1645.2,1611.2,2026-09-21
94,,Anastasija Sevastova,1718.5,1664.3,1695.0,1619.5,2026-09-21
95,,Talia Gibson,1717.0,1726.9,1545.1,1560.5,2026-09-21
96,,Anna Blinkova,1716.4,1679.4,1614.7,1607.5,2026-09-21
97,,Shuai Zhang,1716.1,1685.9,1596.8,1620.6,2026-09-21
98,,Sloane Stephens,1715.4,1664.4,1680.8,1605.4,2026-09-21
99,,Sinja Kraus,1713.4,1617.1,1703.6,1542.3,2026-09-21
100,,Sofia Kenin,1712.3,1671.3,1664.3,1583.2,2026-09-21
101,,Mary Stoiana,1711.7,1648.4,1563.2,1620.3,2026-09-21
102,,Maya Joint,1708.2,1679.7,1636.0,1599.4,2026-09-21
103,,Kimberly Birrell,1707.0,1691.7,1512.8,1571.9,2026-09-21
104,,Marina Stakusic,1706.7,1672.1,1558.8,1592.9,2026-09-21
105,,Solana Sierra,1704.0,1586.7,1708.8,1587.9,2026-09-21
106,,Francesca Jones,1702.4,1657.4,1678.9,1474.8,2026-09-21
107,,Aliaksandra Sasnovich,1701.9,1668.5,1642.5,1597.9,2026-09-21
108,,Darja Vidmanova,1701.2,1675.3,1542.4,1583.4,2026-09-21
109,,Storm Hunter,1697.9,1684.2,1556.0,1582.2,2026-09-21
110,,Kaja Juvan,1696.2,1637.2,1684.7,1641.5,2026-09-21
111,,Vera Zvonareva,1695.4,1662.7,1615.1,1633.4,2026-09-21
112,,Alina Charaeva,1695.3,1612.8,1668.1,1580.6,2026-09-21
113,,Janice Tjen,1694.0,1682.4,1578.3,1563.1,2026-09-21
114,,Tamara Korpatsch,1692.9,1611.9,1691.2,1449.0,2026-09-21
115,,Antonia Ruzic,1691.8,1657.2,1597.3,1584.2,2026-09-21
116,,Bianca Andreescu,1691.3,1660.7,1618.0,1608.8,2026-09-21
117,,Jil Teichmann,1689.1,1632.1,1653.9,1482.6,2026-09-21
118,,Leolia Jeanjean,1686.7,1618.9,1650.1,1585.5,2026-09-21
119,,Panna Udvardy,1686.1,1600.4,1643.5,1556.3,2026-09-21
120,,Tyra Caterina Grant,1683.5,1558.4,1632.9,1629.6,2026-09-21
121,,Fiona Ferro,1683.2,1625.2,1653.7,1488.8,2026-09-21
122,,Greet Minnen,1683.0,1627.1,1588.3,1646.6,2026-09-21
123,,Polina Kudermetova,1681.4,1630.0,1626.4,1599.7,2026-09-21
124,,Elina Avanesyan,1681.2,1614.7,1665.1,1581.5,2026-09-21
125,,Jeline Vandromme,1676.3,1662.5,1599.7,1534.5,2026-09-21
126,,Lois Boisson,1674.3,1535.2,1666.9,1466.9,2026-09-21
127,,Lucrezia Stefanini,1673.1,1651.8,1548.9,1574.7,2026-09-21
128,,Petra Marcinko,1670.0,1580.1,1659.8,1542.7,2026-09-21
129,,Caroline Dolehide,1669.2,1638.6,1617.0,1476.6,2026-09-21
130,,Laura Samson,1666.9,1507.8,1692.6,1491.1,2026-09-21
131,,Nadia Podoroska,1666.4,1654.7,1575.1,1495.3,2026-09-21
132,,Clara Burel,1665.5,1650.4,1633.6,1504.3,2026-09-21
133,,Carol Young Suh Lee,1664.6,1651.8,1559.4,1508.4,2026-09-21
134,,Rositsa Dencheva,1662.2,1494.2,1645.0,1506.1,2026-09-21
135,,Polina Iatcenko,1661.4,1607.7,1421.0,1645.2,2026-09-21
136,,Rebeka Masarova,1661.3,1599.5,1635.3,1621.6,2026-09-21
137,,Tatiana Prozorova,1658.2,1637.5,1564.3,1530.5,2026-09-21
138,,Tamara Zidansek,1657.9,1599.0,1627.7,1474.2,2026-09-21
139,,Simona Waltert,1657.4,1589.4,1650.4,1444.8,2026-09-21
