slug,tour,start,surface,round,winner_id,winner_name,winner_ioc,loser_id,loser_name,loser_ioc,score
2026BirminghamChallenger,atp,2026-06-01,Grass,F,207352,Bu Yunchaokete,CHN,202261,Otto Virtanen,FIN,2-6 7-6(3) 6-3
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,102093,Martin Damm,USA,209407,Max Basing,GBR,6-1 7-5
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,111190,Zhizhen Zhang,CHN,211394,Patrick Brady,GBR,7-5 7-6(4)
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,111200,Elias Ymer,SWE,207760,Anton Matusevich,GBR,7-5 6-3
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,144817,Marc Andrea Huesler,SUI,200008,Alexis Galarneau,CAN,6-4 5-7 7-6(2)
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,200277,Charles Broom,GBR,212536,James Beaven,GBR,6-3 6-2
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,200416,August Holmgren,DEN,209115,Oliver Okonkwo,GBR,7-6(8) 6-2
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,202346,Ben Jones,GBR,202333,Keegan Smith,USA,7-6(3) 7-6(5)
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,206889,Clement Chidekh,FRA,210522,William Jansen,GBR,6-1 6-4
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,207171,Hamish Stewart,GBR,202439,Sean Hodkin,GBR,6-3 6-1
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,211542,Filippo Romano,ITA,206736,Benjamin Oconnell,AUS,6-1 6-2
2026BirminghamChallenger,atp,2026-06-01,Grass,Q1,211767,James Watt,NZL,211577,Antoine Ghibaudo,FRA,7-6(2) 6-4
2026BirminghamChallenger,atp,2026-06-01,Grass,Q2,111190,Zhizhen Zhang,CHN,144817,Marc Andrea Huesler,SUI,6-2 2-6 7-6(3)
2026BirminghamChallenger,atp,2026-06-01,Grass,Q2,111200,Elias Ymer,SWE,207171,Hamish Stewart,GBR,7-6(2) 6-2
2026BirminghamChallenger,atp,2026-06-01,Grass,Q2,206889,Clement Chidekh,FRA,200277,Charles Broom,GBR,6-3 7-6(3)
2026BirminghamChallenger,atp,2026-06-01,Grass,Q2,210317,James Mccabe,AUS,102093,Martin Damm,USA,3-6 6-3 6-4
2026BirminghamChallenger,atp,2026-06-01,Grass,Q2,211542,Filippo Romano,ITA,202346,Ben Jones,GBR,7-5 7-6(9)
2026BirminghamChallenger,atp,2026-06-01,Grass,Q2,211767,James Watt,NZL,200416,August Holmgren,DEN,6-2 7-5
